symbol,entry_date,exit_date,entry_price,exit_price,position_pct,ret_pct,pnl,equity_after,holding_days
^GSPC,2026-06-10,2026-06-17,7266.9902,7420.1001,0.05,2.1069,100.73,100480.6,5
^GSPC,2026-06-18,2026-06-18,7500.5801,7500.5801,0.1,0.0,-10.05,100470.55,open->close
^IXIC,2024-03-27,2024-04-04,16399.5195,16049.0801,0.1,-2.1369,-223.69,99776.31,5
^IXIC,2024-04-04,2024-04-11,16049.0801,16442.1992,0.1,2.4495,234.42,100010.73,5
^IXIC,2024-04-11,2024-04-18,16442.1992,15601.5,0.05,-5.1131,-260.68,99750.05,5
^IXIC,2024-04-18,2024-04-25,15601.5,15611.7598,0.1,0.0658,-3.42,99746.64,5
^IXIC,2024-04-25,2024-05-02,15611.7598,15840.96,0.05,1.4681,68.23,99814.87,5
^IXIC,2024-05-02,2024-05-09,15840.96,16346.2598,0.05,3.1898,154.21,99969.08,5
^IXIC,2024-05-14,2024-05-21,16511.1797,16832.6191,0.05,1.9468,92.31,100061.39,5
^IXIC,2024-05-30,2024-06-06,16737.0801,17173.1191,0.05,2.6052,125.34,100186.73,5
^IXIC,2024-07-17,2024-07-24,17996.9199,17342.4102,0.1,-3.6368,-374.38,99812.35,5
^IXIC,2024-07-24,2024-07-31,17342.4102,17599.4004,0.05,1.4819,68.96,99881.31,5
^IXIC,2024-08-07,2024-08-14,16195.8096,17192.5996,0.1,6.1546,604.74,100486.06,5
^IXIC,2024-10-01,2024-10-08,17910.3594,18182.9199,0.1,1.5218,142.87,100628.93,5
^IXIC,2024-10-24,2024-10-31,18415.4902,18095.1504,0.1,-1.7395,-185.11,100443.82,5
^IXIC,2024-10-31,2024-11-07,18095.1504,19269.4609,0.1,6.4896,641.8,101085.62,5
^IXIC,2024-11-07,2024-11-14,19269.4609,19107.6504,0.1,-0.8397,-94.99,100990.63,5
^IXIC,2024-11-14,2024-11-21,19107.6504,18972.4199,0.1,-0.7077,-81.57,100909.05,5
^IXIC,2024-11-21,2024-11-29,18972.4199,19218.1699,0.1,1.2953,120.62,101029.67,5
^IXIC,2024-11-29,2024-12-06,19218.1699,19859.7695,0.1,3.3385,327.19,101356.85,5
^IXIC,2024-12-10,2024-12-17,19687.2402,20109.0605,0.1,2.1426,207.03,101563.89,5
^IXIC,2024-12-17,2024-12-24,20109.0605,20031.1309,0.1,-0.3875,-49.52,101514.37,5
^IXIC,2024-12-24,2025-01-02,20031.1309,19280.7891,0.1,-3.7459,-390.41,101123.96,5
^IXIC,2025-01-02,2025-01-10,19280.7891,19161.6309,0.1,-0.618,-72.61,101051.35,5
^IXIC,2025-01-10,2025-01-17,19161.6309,19630.1992,0.1,2.4453,237.0,101288.35,5
^IXIC,2025-01-17,2025-01-27,19630.1992,19341.8301,0.1,-1.469,-158.92,101129.43,5
^IXIC,2025-01-27,2025-02-03,19341.8301,19391.9609,0.1,0.2592,16.1,101145.53,5
^IXIC,2025-02-03,2025-02-10,19391.9609,19714.2695,0.1,1.6621,158.0,101303.52,5
^IXIC,2025-02-10,2025-02-18,19714.2695,20041.2598,0.1,1.6586,157.9,101461.42,5
^IXIC,2025-02-20,2025-02-27,19962.3594,18544.4199,0.1,-7.1031,-730.83,100730.59,5
^IXIC,2025-02-27,2025-03-06,18544.4199,18069.2598,0.1,-2.5623,-268.17,100462.41,5
^IXIC,2025-03-06,2025-03-13,18069.2598,17303.0098,0.1,-4.2406,-436.07,100026.34,5
^IXIC,2025-03-13,2025-03-20,17303.0098,17691.6309,0.1,2.246,214.65,100241.0,5
^IXIC,2025-03-20,2025-03-27,17691.6309,17804.0293,0.1,0.6353,53.66,100294.66,5
^IXIC,2025-03-31,2025-04-07,17299.2891,15603.2598,0.1,-9.804,-993.32,99301.34,5
^IXIC,2025-04-07,2025-04-14,15603.2598,16831.4805,0.05,7.8716,385.86,99687.2,5
^IXIC,2025-04-14,2025-04-22,16831.4805,16300.4199,0.05,-3.1552,-162.25,99524.95,5
^IXIC,2025-05-21,2025-05-29,18872.6406,19175.8691,0.1,1.6067,149.96,99674.91,5
^IXIC,2025-05-30,2025-06-06,19113.7695,19529.9492,0.05,2.1774,103.53,99778.44,5
^IXIC,2025-06-06,2025-06-13,19529.9492,19406.8301,0.05,-0.6304,-36.44,99742.0,5
^IXIC,2025-06-13,2025-06-23,19406.8301,19630.9707,0.1,1.155,105.22,99847.22,5
^IXIC,2025-07-23,2025-07-30,21020.0195,21129.6699,0.1,0.5216,42.1,99889.32,5
^IXIC,2025-07-30,2025-08-06,21129.6699,21169.4199,0.1,0.1881,8.8,99898.12,5
^IXIC,2025-08-06,2025-08-13,21169.4199,21713.1406,0.1,2.5684,246.59,100144.72,5
^IXIC,2025-08-19,2025-08-26,21314.9492,21544.2695,0.1,1.0759,97.73,100242.44,5
^IXIC,2025-08-29,2025-09-08,21455.5508,21798.6992,0.1,1.5993,150.3,100392.74,5
^IXIC,2025-09-08,2025-09-15,21798.6992,22348.75,0.1,2.5233,243.28,100636.03,5
^IXIC,2025-09-16,2025-09-23,22333.9609,22573.4707,0.1,1.0724,97.86,100733.88,5
^IXIC,2025-09-23,2025-09-30,22573.4707,22660.0098,0.1,0.3834,28.54,100762.43,5
^IXIC,2025-09-30,2025-10-07,22660.0098,22788.3594,0.1,0.5664,47.0,100809.43,5
^IXIC,2025-10-07,2025-10-14,22788.3594,22521.6992,0.1,-1.1702,-128.04,100681.38,5
^IXIC,2025-11-06,2025-11-13,23053.9902,22870.3594,0.05,-0.7965,-45.13,100636.25,5
^IXIC,2025-11-13,2025-11-20,22870.3594,22078.0508,0.1,-3.4643,-358.7,100277.55,5
^IXIC,2025-11-25,2025-12-03,23025.5898,23454.0898,0.1,1.861,176.59,100454.13,5
^IXIC,2025-12-12,2025-12-19,23195.1699,23307.6191,0.1,0.4848,38.65,100492.79,5
