date,equity,symbol,daily_ret
2025-02-21,100123.7319971658,^DJI,0.0
2025-02-24,100123.7319971658,^DJI,0.0
2025-02-25,100123.7319971658,^DJI,0.0
2025-02-26,100123.7319971658,^DJI,0.0
2025-02-27,100123.7319971658,^DJI,0.0
2025-02-28,100123.7319971658,^DJI,0.0
2025-03-03,100087.62834538048,^DJI,-0.00036059035220881164
2025-03-04,100087.62834538048,^DJI,0.0
2025-03-05,100087.62834538048,^DJI,0.0
2025-03-06,100087.62834538048,^DJI,0.0
2025-03-07,100087.62834538048,^DJI,0.0
2025-03-10,99934.3706811966,^DJI,-0.0015312348460793102
2025-03-11,99934.3706811966,^DJI,0.0
2025-03-12,99934.3706811966,^DJI,0.0
2025-03-13,99934.3706811966,^DJI,0.0
2025-03-14,99934.3706811966,^DJI,0.0
2025-03-17,99907.66687002928,^DJI,-0.00026721348206115714
2025-03-18,99907.66687002928,^DJI,0.0
2025-03-19,99907.66687002928,^DJI,0.0
2025-03-20,99907.66687002928,^DJI,0.0
2025-03-21,99907.66687002928,^DJI,0.0
2025-03-24,100074.77403158502,^DJI,0.001672615994257276
2025-03-25,100074.77403158502,^DJI,0.0
2025-03-26,100074.77403158502,^DJI,0.0
2025-03-27,100074.77403158502,^DJI,0.0
2025-03-28,100074.77403158502,^DJI,0.0
2025-03-31,99928.09486106691,^DJI,-0.0014656957453814679
2025-04-01,99928.09486106691,^DJI,0.0
2025-04-02,99928.09486106691,^DJI,0.0
2025-04-03,99928.09486106691,^DJI,0.0
2025-04-04,99928.09486106691,^DJI,0.0
2025-04-07,98957.84281848259,^DJI,-0.00970950205678689
2025-04-08,98957.84281848259,^DJI,0.0
2025-04-09,98957.84281848259,^DJI,0.0
2025-04-10,98957.84281848259,^DJI,0.0
2025-04-11,98957.84281848259,^DJI,0.0
2025-04-14,99286.42273038701,^DJI,0.0033204029367044363
2025-04-15,99286.42273038701,^DJI,0.0
2025-04-16,99286.42273038701,^DJI,0.0
2025-04-17,99286.42273038701,^DJI,0.0
2025-04-21,99286.42273038701,^DJI,0.0
2025-04-22,99117.5757183788,^DJI,-0.0017006052526106208
2025-04-23,99117.5757183788,^DJI,0.0
2025-04-24,99117.5757183788,^DJI,0.0
2025-04-25,99117.5757183788,^DJI,0.0
2025-04-28,99117.5757183788,^DJI,0.0
2025-04-29,99446.7588516867,^DJI,0.00332113785998156
2025-04-30,99446.7588516867,^DJI,0.0
2025-05-01,99446.7588516867,^DJI,0.0
2025-05-02,99446.7588516867,^DJI,0.0
2025-05-05,99446.7588516867,^DJI,0.0
2025-05-06,99510.76659295303,^DJI,0.000643638284499426
2025-05-07,99510.76659295303,^DJI,0.0
2025-05-08,99510.76659295303,^DJI,0.0
2025-05-09,99510.76659295303,^DJI,0.0
2025-05-12,99510.76659295303,^DJI,0.0
2025-05-13,99820.44463661479,^DJI,0.0031120054066962055
