symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
AAPL,ALL_NO_REGIME,51,5,test,125,0.005670493913088292,0.007377186590664139,0.11068311944693898
AAPL,ALL_FULL,60,5,test,125,0.005469388631336189,0.007091105259945725,0.17831972091447112
AAPL,PRICE_ONLY,5,6,test,125,0.00816549021005181,0.010464307653615241,-0.9596395635991146
AAPL,PRICE+TECH,33,6,test,125,0.005524356806682271,0.006989911090752887,0.12562344688530613
AAPL,PRICE+TECH+LAG,38,6,test,125,0.005514540056817154,0.007033695977722638,0.11463492778539963
AAPL,ALL_NO_MACRO,47,6,test,125,0.005564426373549031,0.007216605862449366,0.06798870960920789
AAPL,ALL_NO_REGIME,51,6,test,125,0.007971344533015436,0.009758435568771782,-0.7041805243768433
AAPL,ALL_FULL,60,6,test,125,0.007322907124500131,0.008985663294358365,-0.44495885800378665
AAPL,PRICE_ONLY,5,7,test,125,0.009232884521539034,0.012194319063701753,-0.9661602718011209
AAPL,PRICE+TECH,33,7,test,125,0.00681472094299696,0.008976627339814197,-0.06544295076069906
AAPL,PRICE+TECH+LAG,38,7,test,125,0.006915580661971677,0.009078592426499808,-0.08978505287973193
AAPL,ALL_NO_MACRO,47,7,test,125,0.006967640672800833,0.0090841416774047,-0.09111771297902682
AAPL,ALL_NO_REGIME,51,7,test,125,0.009442577087029615,0.010692341892328039,-0.5116438530374785
AAPL,ALL_FULL,60,7,test,125,0.008869090623674702,0.010139538387760244,-0.35937780820570797
AAPL,PRICE_ONLY,5,8,test,125,0.00796880410504343,0.011267937144889172,-0.6990533447638605
AAPL,PRICE+TECH,33,8,test,125,0.006444692524893976,0.00864929998483323,-0.001106089720466441
AAPL,PRICE+TECH+LAG,38,8,test,125,0.00633653575594587,0.008499933403207045,0.03317197826499674
AAPL,ALL_NO_MACRO,47,8,test,125,0.0062784292608322025,0.008469321603687092,0.040123338890571514
AAPL,ALL_NO_REGIME,51,8,test,125,0.00820648590612243,0.009429534988533423,-0.18986786523377797
AAPL,ALL_FULL,60,8,test,125,0.007888909432069014,0.009132937200289135,-0.11619256621063512
AAPL,PRICE_ONLY,5,9,test,125,0.0054546203810154,0.006255041964758001,-0.9667693961673758
AAPL,PRICE+TECH,33,9,test,125,0.005407017187234718,0.006138180682864911,-0.8939666294021242
AAPL,PRICE+TECH+LAG,38,9,test,125,0.005456536151377133,0.006161019267790101,-0.9080867706148588
AAPL,ALL_NO_MACRO,47,9,test,125,0.005372993701900121,0.006093756981626054,-0.8666515174158542
AAPL,ALL_NO_REGIME,51,9,test,125,0.008016423340157716,0.008872992191165274,-2.9576117346100648
AAPL,ALL_FULL,60,9,test,125,0.007762316732336751,0.00857038291203704,-2.6922698878858315
AAPL,PRICE_ONLY,5,10,test,125,0.005765219902406153,0.006532820396757657,-1.139087471417743
AAPL,PRICE+TECH,33,10,test,125,0.005687436152769956,0.006445812476357189,-1.0824876783602027
